record_id,redcap_survey_identifier,my_first_instrument_timestamp,gender,group,year,age,had_ortho,male_3mm,male_25mm,male_sym,male_4mm,male_2mm,male_35mm,male_15mm,male_1mm,female_3mm,female_15mm,female_2mm,female_4mm,female_25,female_symm,female_1mm,female_35mm,my_first_instrument_complete
1,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,0
2,,"[not completed]",2,2,3,3,0,0,1,1,1,1,1,1,,,,,,,,,,0
3,,"2018-08-14 16:19:09",2,2,3,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
4,,"2018-08-14 16:18:14",2,2,1,1,1,,,,,,,,,,,,,,,,,2
5,,"2018-08-14 16:19:15",2,2,3,3,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,2
6,,"2018-08-14 16:20:58",2,2,2,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,2
7,,"2018-08-14 16:22:08",2,2,4,6,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,2
8,,"2018-08-14 16:21:05",2,2,4,3,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,2
9,,"2018-08-14 16:24:41",1,2,4,3,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2
10,,"2018-08-14 16:26:08",1,2,3,2,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,2
11,,"2018-08-14 16:24:44",1,2,2,6,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
12,,"2018-08-14 16:26:42",1,2,3,4,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
13,,"2018-08-14 16:27:58",2,2,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,2
14,,"2018-08-14 16:27:59",2,2,3,3,1,,,,,,,,,,,,,,,,,2
15,,"2018-08-14 16:32:43",2,2,3,2,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,2
16,,"[not completed]",1,2,2,2,0,1,1,1,,,,,,,,,,,,,,0
17,,"2018-08-14 16:38:51",1,2,1,2,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,2
18,,"2018-08-14 16:37:11",2,2,1,1,1,,,,,,,,,,,,,,,,,2
19,,"2018-08-14 16:43:18",2,2,4,3,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
20,,"2018-08-14 16:53:22",1,2,4,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
21,,"2018-08-14 16:49:15",2,2,3,2,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2
22,,"2018-08-14 16:49:01",2,2,2,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
23,,"2018-08-14 16:50:13",2,2,4,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
24,,"2018-08-14 17:01:19",1,2,4,3,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
25,,"2018-08-14 17:19:15",2,2,2,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
26,,"2018-08-14 17:32:15",1,2,4,3,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
27,,"2018-08-14 17:41:18",2,2,1,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
28,,"2018-08-14 17:45:28",2,2,4,2,1,,,,,,,,,,,,,,,,,2
29,,"2018-08-14 17:46:13",2,2,4,2,1,,,,,,,,,,,,,,,,,2
30,,"2018-08-14 17:50:11",2,2,2,2,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
31,,"2018-08-14 17:51:18",2,2,3,2,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
32,,"2018-08-14 18:00:06",2,2,1,4,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
33,,"2018-08-14 18:04:18",1,2,2,3,0,1,1,1,0,0,0,1,,0,0,0,0,0,1,1,0,2
34,,"2018-08-14 18:05:59",2,2,4,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
35,,"[not completed]",2,2,3,2,0,1,,,,,,,,,,,,,,,,0
36,,"[not completed]",2,2,3,2,0,0,1,,,,,,,,,,,,,,,0
37,,"2018-08-14 18:16:12",2,2,3,2,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2
38,,"2018-08-14 18:32:46",2,2,1,3,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
39,,"2018-08-14 18:42:43",1,2,4,3,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,2
40,,"2018-08-14 18:54:13",2,2,4,3,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,2
41,,"2018-08-14 19:03:02",2,2,4,3,1,,,,,,,,,,,,,,,,,2
42,,"2018-08-14 19:05:18",2,2,4,3,1,,,,,,,,,,,,,,,,,2
43,,"2018-08-14 19:13:01",1,2,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,2
44,,"2018-08-14 19:14:57",2,2,4,3,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,2
45,,"2018-08-14 19:29:58",2,2,3,2,1,,,,,,,,,,,,,,,,,2
46,,"2018-08-14 19:32:08",2,2,1,2,1,,,,,,,,,,,,,,,,,2
47,,"2018-08-14 19:41:06",2,2,3,6,1,,,,,,,,,,,,,,,,,2
48,,"2018-08-14 19:59:45",2,2,1,6,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,2
49,,"[not completed]",2,2,1,1,0,0,0,0,0,,,,,,,,,,,,,0
50,,"2018-08-14 20:03:44",1,2,1,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2
51,,"2018-08-14 20:05:30",2,2,3,3,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
52,,"2018-08-14 20:19:28",2,2,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
53,,"2018-08-14 20:37:35",2,2,3,2,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,2
54,,"2018-08-14 20:57:59",1,2,3,2,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
55,,"[not completed]",2,2,3,2,0,0,0,0,1,,,,,,,,,,,,,0
