record_id,redcap_survey_identifier,my_first_instrument_timestamp,specialty,gender,year_practice,male_3mm,male_25mm,male_sym,male_4mm,male_2mm,male_35mm,male_15mm,male_1mm,female_3mm,female_15mm,female_2mm,female_4mm,female_25,female_symm,female_1mm,female_35mm,my_first_instrument_complete
1,,"2018-10-31 11:55:42",1,1,5,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
2,,"2018-10-31 11:55:09",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,2
3,,"2018-10-31 12:14:49",1,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
4,,"[not completed]",,,,,,,,,,,,,,,,,,,,0
5,,"2018-10-31 12:41:25",1,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
6,,"2018-10-31 12:58:34",1,1,4,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
7,,"2018-10-31 13:13:10",1,1,3,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,2
8,,"2018-10-31 14:23:01",1,1,5,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,2
9,,"2018-10-31 14:42:57",1,1,4,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
10,,"2018-10-31 14:48:29",1,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
11,,"2018-10-31 14:58:39",1,1,5,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
12,,"[not completed]",1,1,5,,,,,,,,,,,,,,,,,0
13,,"2018-10-31 15:59:21",1,1,5,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,2
14,,"2018-10-31 16:51:57",1,1,4,1,1,0,1,1,1,1,0,1,,1,1,1,0,0,1,2
15,,"[not completed]",,,,,,,,,,,,,,,,,,,,0
16,,"2018-10-31 17:53:57",1,1,5,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,2
17,,"2018-10-31 20:49:55",1,1,5,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
18,,"2018-11-01 07:44:02",1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
19,,"2018-11-01 13:01:30",1,1,5,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,1,2
20,,"2018-11-01 13:21:45",1,1,2,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2
21,,"2018-11-02 12:06:25",1,1,4,1,1,0,1,1,1,0,0,1,0,0,1,1,0,0,1,2
22,,"2018-11-04 20:29:20",1,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
23,,"2018-11-05 11:40:39",1,1,2,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,2
24,,"2018-11-12 07:16:54",2,2,3,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,2
25,,"2018-11-12 07:12:02",2,1,5,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,2
